variant,seed,duration_s,outcome,mission_complete,fire_overrun,extinction_time_s,fire_damage,fires_spawned,fires_ignited,peak_active_fires,detection_delay_s,fires_never_seen,response_delay_s,collisions,drones_lost,near_misses,min_distance_m,emergency_fraction,time_patrol,time_to_fire,time_extinguishing,time_to_station,time_queue,time_refill,time_out_of_service,water_fairness,overcrowding_s,queue_wait_mean_s,queue_wait_max_s,distance_m,control_effort,saturation_bounces,message_loss,neighbors,connected_fraction,fire_awareness,phantom_fires,info_age_s,coverage_staleness_s,coverage_staleness_hot_s,coverage_staleness_cold_s,coverage_staleness_max_s
urti con danni,11,122.19,tutti gli incendi spenti,True,False,122.19,56307.70731999308,0,0,5,0.5860000000000001,0,2.634,0,0,0,1.0201484627081236,0.0,0.026154622582317797,0.3530021551133988,0.1737253457729174,0.18886570095745228,0.17846523174285062,0.07978694383066191,0.0,0.973932833419045,0.0,4.380172413793053,12.069999999999787,688.4575651542032,758.7784585581921,0,0.0,1.986759486759488,0.02702702702702703,0.8716830466830473,0.16618891618891699,0.2906078783810246,23.13758979270577,23.794800514800492,23.800517417703272,122.10000000000001
urti con danni,12,104.83,tutti gli incendi spenti,True,False,104.83,47662.37055999397,0,0,5,1.226,0,1.068,0,0,0,1.00986435986929,0.0,0.033633819835289,0.24424465006825777,0.18339215873313552,0.17599923685963276,0.27214696810696176,0.0905831663964048,0.0,0.9538807932587042,0.0,6.5198076923076105,19.26000000000021,505.3270712412561,542.814720250911,1,0.0,2.513199745547078,0.09446564885496184,0.8191581849024582,0.18209287531806634,0.06956950493066864,16.345484881954842,12.192107415485271,26.062010548639133,104.8
"urti con danni, senza evitamento",1,184.57,incendi fuori controllo,False,True,,219820.15297998194,38,0,41,0.01,39,1.375,5,10,35,0.08961715089643173,0.0,0.020809629589496035,0.05940383955501314,0.07598291524443838,0.020732874609452345,0.04494681331383487,0.03160499178270164,0.7465189359044632,0.3768452746577114,0.0,2.6118421052631446,6.2799999999999105,259.4783353428957,156.02667948581407,1,0.0,2.05510388437216,0.0,0.2777539992012329,0.685094850948509,0.757246512280108,65.0870737521308,67.26689505558325,63.83387762312177,184.5
"urti con danni, senza evitamento",2,148.27,incendi fuori controllo,False,True,,167187.75997998935,39,0,41,1.7209999999999988,34,3.9699999999999993,5,10,36,0.08996798915429169,0.0,0.026286504350171568,0.04369281266158745,0.08809941323261752,0.016389020031025468,0.04929632876959149,0.038471482205884595,0.7377644387485393,0.32283889700078006,0.5500000000000003,2.3081578947368335,6.9399999999998965,179.48378813672775,111.2337648663062,1,0.0,2.0610661268556,0.0,0.28698491478019567,0.10582546108861886,1.1414936148102934,57.97520078557971,60.29153026797763,53.79824042082654,148.20000000000002
"urti con danni, senza evitamento",3,117.54,incendi fuori controllo,False,True,,125725.83749999575,38,0,42,5.1954545454545435,32,7.356,5,10,28,0.08234030115398355,0.0,0.0531521184277703,0.07433639612048148,0.07284754126256002,0.038355737054050966,0.03315183483636724,0.028805796608247183,0.6993505756900118,0.4288363965398805,0.12999999999999998,2.1824999999999948,2.629999999999988,245.43639227506847,94.58923298426888,1,0.0,2.284255319148944,0.0,0.1826705463581279,0.3771631205673759,1.0159339887641021,41.00020345040055,42.99262045158487,36.67896221454825,117.5
"urti con danni, senza evitamento",4,117.5,nessun drone ancora in volo,False,False,,60750.43459999489,0,0,5,1.8920000000000001,0,0.7979999999999998,6,12,42,0.09329223739107365,0.0,0.019248226950355635,0.07785815602838245,0.10707092198582105,0.049432624113474294,0.06085106382979219,0.05119858156028371,0.6343404255314409,0.4648297807155223,1.470000000000001,2.6812499999999826,9.449999999999843,231.3649366914072,134.97247563117057,0,0.0,2.459007092198571,0.0,0.7418439716312156,0.8199999999999926,0.3217179401437861,38.84079464990215,39.387902084237965,37.093296156845255,117.5
"urti con danni, senza evitamento",5,117.22,nessun drone ancora in volo,False,False,,89955.36433999517,12,0,16,1.986,12,1.7240000000000002,6,12,34,0.08058875464805909,0.0,0.06169311266564828,0.07109139509754753,0.09087613035320231,0.04555536597849903,0.04283256554626386,0.036967525450718186,0.650983904907661,0.4914178178509301,0.0,2.0775862068965467,3.889999999999961,256.03895156218323,117.9694225036852,0,0.0,1.6793230944254878,0.0,0.49346006035425966,0.15358361774744028,1.317923975792698,36.90820410984328,39.409457494601966,35.420094202866196,117.2
"urti con danni, senza evitamento",6,141.9,incendi fuori controllo,False,True,,180235.75273999304,40,0,41,10.588333333333336,33,2.539999999999999,5,10,26,0.09864692575186924,0.0,0.03298684519614599,0.04823232323232623,0.06810547333804463,0.017559314070943077,0.027190509748648905,0.035500352360815446,0.7704251820524735,0.25686891698294156,0.0,2.207499999999995,2.8799999999999826,173.4431628111246,109.8002094744886,1,0.0,3.0220812778952464,0.0,0.18432162890372955,0.3415550857411287,0.38440338528575435,48.7187936874712,46.03263961398518,52.19540586985158,141.9
"urti con danni, senza evitamento",7,164.89,incendi fuori controllo,False,True,,170168.58705999132,37,0,41,8.398235294117645,25,6.822000000000001,5,10,25,0.08135052085610385,0.0,0.021787252107465575,0.06588230537531405,0.07786504134069422,0.030308084177328637,0.04507550488204697,0.03436634524026011,0.7247154668763219,0.34902360483819067,0.18000000000000002,2.4774999999999894,4.709999999999944,264.865361749611,143.61999431050998,1,0.0,1.946399676375405,0.0,0.2983524979343705,0.0,0.7280902752992016,61.87271501210703,67.43125702768977,55.54335956958784,164.8
"urti con danni, senza evitamento",8,76.1,nessun drone ancora in volo,False,False,,41464.013239996515,0,0,5,1.7559999999999998,0,1.4140000000000001,6,12,20,0.08874831857680288,0.0,0.0435282522996065,0.07347787998247637,0.13146079719669787,0.04231274638633473,0.044787560227770945,0.07093736311869933,0.5934954007880553,0.5333420456302866,0.0,1.8590909090909036,4.799999999999942,151.05570787769167,89.18487244683969,3,0.0,1.5886990801577,0.0,0.5652686523580058,0.37209811651335883,0.4396049573973713,18.34461451145764,16.447699589691346,22.247588028290142,76.10000000000001
"urti con danni, senza evitamento",9,158.29,nessun drone ancora in volo,False,False,,149888.95391999098,28,0,32,0.736,28,0.8400000000000002,6,12,21,0.08858680336834573,0.0,0.018025986059343482,0.052577547539334024,0.07500473813886717,0.01775749152399702,0.04770252911323596,0.03054520184471383,0.7583865057799161,0.32223446763893776,0.0,2.831562499999982,7.509999999999884,200.3938319131699,129.11494196415745,0,0.0,1.9931521281078726,0.0,0.20640274764719926,0.01632954066582388,0.5705441627644229,57.82566747811718,57.369180609664895,59.83641041891443,158.20000000000002
"urti con danni, senza evitamento",10,174.81,incendi fuori controllo,False,True,,179186.25497998894,39,0,41,1.3987500000000006,28,8.835,5,10,41,0.08500189306103488,0.0,0.031629578780770086,0.07439982457144091,0.087304311347548,0.040272295635264146,0.051903971931439266,0.040148351543583594,0.6743416661894144,0.4183063580757081,0.0,2.532093023255804,3.9199999999999604,345.61502172803023,173.11561624481396,0,0.0,3.0498665141113457,0.0,0.5335322313881705,0.4047959572845132,0.35095883323890487,52.5471741993193,50.14380376406858,56.62364450920728,174.8
"urti con danni, senza evitamento",11,55.01,nessun drone ancora in volo,False,False,,40132.78123999767,0,0,5,0.5860000000000001,0,2.784,6,12,30,0.08453527869753551,0.0,0.05764103496334151,0.1581530630794651,0.17461976610316618,0.07724353147912262,0.08175786220686819,0.0666545476580013,0.3839301945099595,0.7941367428325496,0.0,2.3465217391304276,2.99999999999998,204.9223494571396,105.46925385865106,0,0.0,1.5112121212121081,0.0,0.5990303030303044,0.03909090909090909,0.3096159390444848,13.538938383046752,12.940528756957328,15.621120228462638,55.0
"urti con danni, senza evitamento",12,254.39,incendi fuori controllo,False,True,,335748.6041999677,43,0,41,16.249375,32,3.698181818181824,5,10,11,0.09626512404560858,0.0,0.01357823289699553,0.03613546129958578,0.08614070259572108,0.005326467235347216,0.04172071753345527,0.0419827823420825,0.7751156360985191,0.30475112545816063,0.0,2.163965517241374,3.569999999999968,204.7592241913396,135.37660292306865,0,0.0,1.8157687770350173,0.0,0.20224282393616705,0.2709398348407426,0.012828775419136863,74.02330578854804,64.3991146163538,94.5007690138004,254.3
urti sempre fatali,1,211.78,tutti gli incendi spenti,True,False,211.78,88728.176559989,8,0,8,12.013846153846153,0,12.219230769230771,0,0,1,0.4938293702005288,0.00042496930777221665,0.016266880725281086,0.3446264991970238,0.1429156042433243,0.22659127396339807,0.20195485881562558,0.06764488305473787,0.0,0.9799762974165485,0.47000000000000025,5.870348837209221,15.989999999999704,1157.2066713725449,1315.140833683687,2,0.0,3.462761769800036,0.3079829948039679,0.7664402306348449,0.010667611399779573,0.22650872732270128,36.79166044318772,32.7240440843319,45.55925684498704,211.70000000000002
urti sempre fatali,2,217.02,incendi fuori controllo,False,True,,259668.71895997765,45,0,41,13.45806451612903,19,15.110588235294117,0,0,1,0.7238067522783102,0.00034559026817804824,0.15071191595236538,0.2843017540624027,0.11544250913889333,0.229867446932541,0.1680605474148876,0.05161582649833453,0.0,0.9829913660744527,0.6300000000000003,6.245820895522306,18.43000000000008,1259.884420504402,1255.9195482039997,2,0.0,3.0766513056835603,0.2838709677419355,0.564655192401845,0.035637480798771264,0.13992770218512365,34.620381565697336,32.727218000564264,34.86718115303874,217.0
urti sempre fatali,3,174.47,incendi fuori controllo,False,True,,182832.29511998637,41,0,41,24.437368421052632,8,10.241176470588238,0,0,1,0.649821582925622,0.007890563802754885,0.07365640702317722,0.36029594390604835,0.1188456468160327,0.2373760531895135,0.15271488890155627,0.057111060163172404,0.0,0.9629728775635995,0.0,5.56017857142851,18.5400000000001,1103.2191624901839,1145.797155455869,1,0.0,2.7396788990825645,0.20871559633027523,0.5145666576011462,0.009843272171253829,0.4873419130254528,32.744091796999676,31.16827659848342,34.94262235668137,174.4
urti sempre fatali,4,157.74,tutti gli incendi spenti,True,False,157.74,63591.042399992424,0,0,5,1.8920000000000001,0,0.7979999999999998,0,0,0,0.958284541387686,0.0,0.03571805925362288,0.3294450783988303,0.12103250073958022,0.2519969570177249,0.2002239972950215,0.06158340729471637,0.0,0.9656113509090704,0.0,7.0396078431371985,26.93000000000141,825.0127029564494,982.1011512796097,3,0.0,3.295286408793069,0.3253012048192771,0.9420312830268446,0.13279433523567974,0.05625718608169438,29.303904905729055,25.750491633558937,32.863318332575254,157.70000000000002
urti sempre fatali,5,152.05,tutti gli incendi spenti,True,False,152.05,70504.87473999281,0,0,5,1.9600000000000002,0,1.8200000000000003,0,0,0,1.0164756142686653,0.0,0.060950345281168467,0.33452263509787894,0.14189959443160666,0.2234023895647124,0.17495341444692242,0.06427162117725697,0.0,0.9733802682558698,0.0,5.361724137930985,22.300000000000686,891.9643107247269,900.122255843411,1,0.0,2.2481359649122807,0.06776315789473684,0.7725657894736846,0.04490131578947352,0.35466913684631585,31.819144931540624,35.702249462943094,25.560125396114625,152.0
urti sempre fatali,6,130.23,tutti gli incendi spenti,True,False,130.23,65727.215139994,0,0,5,3.396,0,1.252,0,0,4,0.3435767138188219,0.0022332283907957684,0.029537484962501852,0.26193401417989504,0.15672912027433658,0.19560265171866892,0.28166833038965977,0.07452839847450837,0.0,0.9468481971574664,0.0,8.01075471698106,36.44000000000132,617.9192615449067,766.4308918729976,0,0.0,2.412954429083475,0.009984639016897081,0.8718958013312859,0.056835637480798715,0.6727550307039152,18.43437248124311,12.519851562744924,30.75607907890401,130.2
urti sempre fatali,7,150.91,tutti gli incendi spenti,True,False,150.91,63182.48649999148,0,0,5,1.544,0,3.374,0,0,0,0.9791405708584444,0.0,0.0195591191217732,0.28852185629385607,0.14338568241551744,0.2629216089058114,0.2212466591565506,0.06436507410599183,0.0,0.9755257722526687,0.0,6.4184482758620245,32.55000000000209,762.2165038498509,807.8786700040849,0,0.0,2.8628230616302175,0.12127236580516898,0.871960827626832,0.04660923348796089,0.5892514454422431,32.02341693681275,30.905366508432387,31.398370882905013,150.9
