variant,seed,duration_s,mission_complete,fire_overrun,extinction_time_s,fire_damage,fires_spawned,peak_active_fires,detection_delay_s,response_delay_s,collisions,near_misses,min_distance_m,emergency_fraction,time_explore,time_to_fire,time_extinguishing,time_to_station,time_queue,time_refill,water_fairness,overcrowding_s,queue_wait_mean_s,queue_wait_max_s,distance_m,control_effort,saturation_bounces,message_loss,neighbors,connected_fraction,fire_awareness,phantom_fires,info_age_s
senza evitamento delle collisioni,1,125.71,True,False,125.71000000000001,48457.241899996625,2,5,13.332857142857145,5.072857142857144,32,204,0.0002404591750994947,0.0,0.3195913875849883,0.20201256861020594,0.17050486569612008,0.21043141622242748,0.01756688674992797,0.07989287513591119,0.9555412507512532,1.9200000000000015,0.4416666666666641,4.159999999999956,951.530953760769,403.87179826582167,1,0.0,2.588172898435431,0.03659506762132061,0.477861751966764,0.05529037390612547,0.5927553751449479
senza evitamento delle collisioni,2,281.27,True,False,281.27,175099.27321996892,31,20,12.940277777777778,29.43111111111111,150,762,0.0011695462071782594,0.0,0.18580012088016695,0.24156208151106398,0.2011856934616583,0.2594215522449807,0.01417084414737887,0.09785970775406923,0.989649440387176,46.22999999999937,0.28987878787878785,2.52999999999999,1977.665309312985,1033.63492032902,11,0.0,4.078651019440473,0.3051209103840683,0.6521533943287992,0.057224988146040774,0.15070779477639676
senza evitamento delle collisioni,3,600.0,False,False,,224605.9367399752,23,14,6.946785714285716,31.73714285714286,281,1182,0.00020395488735932893,0.0,0.41902361111381015,0.19343611111095532,0.09108472222215953,0.22747916666647994,0.0237430555555541,0.04523333333331234,0.9767889188196673,9.09999999999985,1.0618012422360212,5.909999999999918,5345.305965875732,1581.038665932678,2,0.0,2.368111111111105,0.13383333333333333,0.47325076297161883,0.026347222222222123,0.1658070349127373
senza evitamento delle collisioni,4,82.89,True,False,82.89,33421.48741999612,0,5,1.8920000000000001,0.7979999999999998,34,172,0.00605237913809919,0.0,0.05078015040012719,0.2882937226041382,0.21005750593151057,0.29634656371886126,0.045964531306550316,0.10855752603854338,0.9545352238369977,1.470000000000001,0.9524999999999945,4.789999999999942,544.6329516124389,297.3485134688552,0,0.0,2.968397745571651,0.0,0.8673443370907142,0.033917069243156205,0.21284198419470915
senza evitamento delle collisioni,5,96.83,True,False,96.83,44880.21597999548,0,5,1.986,1.7240000000000002,83,214,0.0006325390514319283,0.0,0.12272367379257056,0.28136080415835973,0.20422389755235046,0.2850614478982441,0.013787049468139785,0.09284312713003742,0.9879476159760492,3.5399999999999685,0.29277777777777625,6.109999999999914,690.9488648660681,304.8334956306082,2,0.0,2.538223140495869,0.02066115702479339,0.7241993801652913,0.14626377410468291,0.34089980070389264
senza evitamento delle collisioni,6,125.39,True,False,125.39,50311.810839997124,5,6,11.298,7.900999999999999,106,287,0.00032170137065969416,0.0,0.2087287662492087,0.25531674508852087,0.1824308158544643,0.25148868862469154,0.011736714783209692,0.09029826939948786,0.9617203661665488,4.689999999999944,0.27169230769230784,1.8900000000000015,922.4097017459338,434.2969690538002,1,0.0,3.305001330141,0.014365522745411013,0.6078057107386727,0.1046155892524607,0.09705638271906193
senza evitamento delle collisioni,7,96.48,True,False,96.48,44721.686659996165,0,5,1.544,3.2600000000000002,39,191,0.0012393465063742439,0.0,0.20694271697063907,0.2117537313432162,0.20484383637362605,0.2448348535101292,0.0405092592592586,0.09111560254285608,0.9285557067275602,3.149999999999977,0.8519230769230699,6.459999999999907,639.2186984215102,342.1764015540494,4,0.0,2.7161134163208875,0.052904564315352696,0.5682687874596581,0.013485477178423246,0.0829432705558109
senza evitamento delle collisioni,8,77.08,True,False,77.08,29092.010939997166,0,5,1.7559999999999998,1.4140000000000001,39,155,0.00320222766208471,0.0,0.08082511676180736,0.3051591420168313,0.20764141152046606,0.27368751081118614,0.025265957446809432,0.10742086144267203,0.9202879848781272,0.0,0.541707317073166,8.979999999999853,529.1436446110472,259.14693726655287,4,0.0,3.0768398268398203,0.14415584415584415,0.8141612554112555,0.11883116883116869,0.06587859256128484
radio con 50% di messaggi persi,1,192.72,False,True,,172938.23143998726,39,41,6.174242424242425,5.913000000000001,1,157,0.08066248920146017,0.07276100041511206,0.016820603293206393,0.08853518057283398,0.08096374705962653,0.6444409851938865,0.13364380102387918,0.035595682855959085,0.8960051318644904,0.0,3.9482857142856727,20.03000000000033,1123.3962915911013,1781.7204661003657,0,0.49945539716806525,1.550899498356684,0.005708354955889984,0.5185150803452571,0.21808510638297873,0.28418335161822267
radio con 50% di messaggi persi,2,147.33,False,True,,173228.84943999504,38,41,5.322105263157895,10.32636363636364,1,144,0.023016156262288177,0.084085612796673,0.019700671960905018,0.05212787619629983,0.06879680535760159,0.6343073372695791,0.19627140885530747,0.02879590035973576,0.34892850016500543,0.0,1.760526315789443,15.299999999999718,902.3211664344058,1472.3645436212669,0,0.5004714351587395,1.6434713736139392,0.0,0.6267087366793386,0.08208870785245528,1.2967148737549936
